iter	Passed	Remaining
0	371	1855708
1	600	1499401
2	751	1251294
3	839	1048480
4	971	970587
5	1070	890811
6	1171	835837
7	1305	814464
8	1452	805665
9	1553	775251
10	1673	759033
11	1794	745817
12	1897	727744
13	1998	711910
14	2101	698239
15	2210	688481
16	2311	677516
17	2472	684261
18	2577	675669
19	2670	664847
20	2787	660822
21	2890	653960
22	2989	646966
23	3130	649159
24	3274	651612
25	3430	656301
26	3533	650838
27	3642	646731
28	3751	643026
29	3851	638008
30	3950	633248
31	4078	633171
32	4192	631024
33	4296	627514
34	4454	631918
35	4556	628241
36	4661	625216
37	4789	625460
38	4907	624273
39	5012	621604
40	5107	617726
41	5225	616889
42	5337	615254
43	5544	624498
44	5660	623323
45	5781	622618
46	5889	620637
47	6008	619880
48	6123	618682
49	6235	617354
50	6356	616790
51	6543	622659
52	6657	621434
53	6782	621257
54	6907	621003
55	7027	620426
56	7143	619482
57	7265	619070
58	7427	622056
59	7547	621373
60	7650	619466
61	7763	618337
62	7866	616480
63	8008	617691
64	8112	615899
65	8223	614787
66	8330	613329
67	8506	616939
68	8614	615647
69	8718	614007
70	8821	612428
71	8949	612564
72	9060	611529
73	9172	610619
74	9275	609095
75	9395	608722
76	9540	610004
77	9647	608764
78	9751	607426
79	9862	606559
80	9962	605017
81	10066	603751
82	10165	602241
83	10319	603946
84	10480	606045
85	10597	605550
86	10690	603694
87	10801	602936
88	10930	603170
89	11033	601927
90	11137	600821
91	11257	600575
92	11355	599165
93	11512	600876
94	11627	600325
95	11752	600354
96	11855	599237
97	11958	598184
98	12071	597609
99	12175	596580
100	12284	595848
101	12402	595554
102	12589	598554
103	12723	598973
104	12827	598007
105	12936	597262
106	13045	596541
107	13158	596031
108	13278	595818
109	13381	594881
110	13530	595943
111	13659	596157
112	13763	595252
113	13853	593761
114	13949	592565
115	14049	591532
116	14154	590722
117	14252	589681
118	14352	588694
119	14489	589254
120	14596	588581
121	14705	587980
122	14833	588141
123	14980	589076
124	15107	589184
125	15214	588545
126	15318	587762
127	15498	589913
128	15616	589693
129	15750	590048
130	15861	589556
131	15977	589214
132	16080	588448
133	16199	588245
134	16310	587769
135	16482	589501
136	16612	589669
137	16717	588997
138	16855	589457
139	16977	589361
140	17082	588693
141	17186	587983
142	17299	587567
143	17488	589765
144	17617	589894
145	17732	589535
146	17823	588418
147	17927	587735
148	18027	586936
149	18140	586557
150	18256	586253
151	18388	586510
152	18589	588922
153	18692	588220
154	18808	587914
155	18916	587374
156	19046	587544
157	19156	587059
158	19288	587264
159	19389	586535
160	19550	587600
161	19691	588056
162	19815	588011
163	19945	588142
164	20065	587967
165	20202	588320
166	20319	588039
167	20529	590459
168	20852	596081
169	21069	598624
170	21185	598287
171	21292	597684
172	21404	597220
173	21555	597858
174	21657	597127
175	21778	596942
176	21874	596037
177	21987	595643
178	22114	595612
179	22237	595482
180	22342	594851
181	22521	596199
182	22713	597886
183	22869	598575
184	22987	598304
185	23108	598099
186	23216	597554
187	23341	597434
188	23493	598029
189	23655	598864
190	23774	598589
191	23893	598334
192	24005	597902
193	24134	597892
194	24227	596999
195	24340	596582
196	24460	596364
197	24606	596779
198	24731	596667
199	24897	597544
200	25049	598065
201	25176	598006
202	25335	598687
203	25535	600333
204	25664	600306
205	25770	599715
206	25927	600333
207	26028	599660
208	26134	599091
209	26250	598769
210	26375	598634
211	26567	600027
212	26674	599479
213	26792	599189
214	26895	598586
215	27009	598203
216	27113	597613
217	27209	596867
218	27328	596608
219	27445	596313
220	27641	597739
221	27743	597117
222	27889	597443
223	28045	597969
224	28164	597717
225	28300	597817
226	28434	597883
227	28608	598769
228	28717	598297
229	28855	598429
230	28984	598389
231	29120	598474
232	29237	598180
233	29365	598093
234	29475	597656
235	29652	598585
236	29770	598304
237	29903	598317
238	30017	597968
239	30116	597313
240	30235	597062
241	30362	596966
242	30561	598276
243	30676	597931
244	30789	597562
245	30896	597080
246	31021	596941
247	31124	596377
248	31244	596161
249	31372	596079
250	31534	596637
251	31663	596589
252	31785	596390
253	31904	596138
254	32021	595843
255	32132	595453
256	32273	595621
257	32400	595515
258	32541	595680
259	32673	595665
260	32775	595100
261	32887	594739
262	33006	594498
263	33142	594552
264	33241	593954
265	33345	593446
266	33445	592876
267	33641	593995
268	33775	594020
269	33892	593740
270	34004	593380
271	34130	593261
272	34274	593465
273	34384	593078
274	34497	592728
275	34678	593555
276	34801	593386
277	34901	592831
278	35009	592398
279	35146	592467
280	35246	591918
281	35366	591706
282	35477	591337
283	35993	597687
284	36384	601942
285	36646	604020
286	36844	605037
287	36964	604775
288	37088	604587
289	37205	604272
290	37475	606433
291	37828	609923
292	38125	612487
293	38295	612985
294	38431	612956
295	38570	612953
296	38682	612540
297	38813	612420
298	38912	611802
299	39019	611301
300	39121	610744
301	39231	610298
302	39331	609708
303	39481	609882
304	39641	610221
305	39786	610325
306	39892	609821
307	40017	609619
308	40126	609164
309	40221	608516
310	40355	608452
311	40489	608376
312	40664	608928
313	40792	608773
314	40940	608915
315	41065	608711
316	41178	608331
317	41317	608322
318	41433	607995
319	41613	608590
320	41728	608249
321	41856	608094
322	41993	608057
323	42130	608031
324	42260	607901
325	42381	607636
326	42491	607219
327	42650	607510
